hidden_layers,activation,epochs,learning_rate,batch_size,avg_loss,accuracy
[4],relu,10,0.01,64,1.417074533871242,0.4479591836734694
[4],relu,10,0.01,128,1.5104231036439233,0.44081632653061226
[4],relu,10,0.001,64,1.96534197281818,0.08877551020408163
[4],relu,10,0.001,128,1.8084630839678706,0.32346938775510203
[4],relu,25,0.01,64,1.2015276490425577,0.5102040816326531
[4],relu,25,0.01,128,1.3287310595415076,0.4846938775510204
[4],relu,25,0.001,64,1.7020588587741463,0.44081632653061226
[4],relu,25,0.001,128,1.8309115667732394,0.20612244897959184
[4],tanh,10,0.01,64,1.3543556758335658,0.463265306122449
[4],tanh,10,0.01,128,1.4866221033796971,0.46938775510204084
[4],tanh,10,0.001,64,1.6661013389120296,0.4091836734693878
[4],tanh,10,0.001,128,1.8841966463595021,0.13877551020408163
[4],tanh,25,0.01,64,1.1828632520169629,0.5224489795918368
[4],tanh,25,0.01,128,1.224264321521837,0.4714285714285714
[4],tanh,25,0.001,64,1.5386914554907352,0.4602040816326531
[4],tanh,25,0.001,128,1.9402398518153599,0.20816326530612245
"[16, 16]",relu,10,0.01,64,1.2986466884613037,0.4642857142857143
"[16, 16]",relu,10,0.01,128,1.4004020107035735,0.4418367346938776
"[16, 16]",relu,10,0.001,64,1.7634036132267543,0.29897959183673467
"[16, 16]",relu,10,0.001,128,1.8454392068240106,0.3
"[16, 16]",relu,25,0.01,64,1.1422802720751082,0.5275510204081633
"[16, 16]",relu,25,0.01,128,1.2497273425666653,0.4744897959183674
"[16, 16]",relu,25,0.001,64,1.590849377184498,0.43979591836734694
"[16, 16]",relu,25,0.001,128,1.719094688065198,0.4387755102040816
"[16, 16]",tanh,10,0.01,64,1.247263661209418,0.4704081632653061
"[16, 16]",tanh,10,0.01,128,1.4097296758573883,0.4459183673469388
"[16, 16]",tanh,10,0.001,64,1.815493882432276,0.3704081632653061
"[16, 16]",tanh,10,0.001,128,1.8294613852792856,0.2683673469387755
"[16, 16]",tanh,25,0.01,64,1.1405665400076885,0.5091836734693878
"[16, 16]",tanh,25,0.01,128,1.230229850691192,0.46938775510204084
"[16, 16]",tanh,25,0.001,64,1.5380461902034526,0.49183673469387756
"[16, 16]",tanh,25,0.001,128,1.7451935918963686,0.42653061224489797
